Paper Name,Authors,PDF Link
Flexible Visual Recognition by Evidential Modeling of Confusion and Ignorance,"Fan, Lei, Liu, Bo, Li, Haoxiang, Wu, Ying, Hua, Gang",https://openaccess.thecvf.com/content/ICCV2023/papers/Fan_Flexible_Visual_Recognition_by_Evidential_Modeling_of_Confusion_and_Ignorance_ICCV_2023_paper.pdf
Texture Generation on 3D Meshes with Point-UV Diffusion,"Yu, Xin, Dai, Peng, Li, Wenbo, Ma, Lan, Liu, Zhengzhe, Qi, Xiaojuan",https://openaccess.thecvf.com/content/ICCV2023/papers/Yu_Texture_Generation_on_3D_Meshes_with_Point-UV_Diffusion_ICCV_2023_paper.pdf
Supervised Homography Learning with Realistic Dataset Generation,"Jiang, Hai, Li, Haipeng, Han, Songchen, Fan, Haoqiang, Zeng, Bing, Liu, Shuaicheng",https://openaccess.thecvf.com/content/ICCV2023/papers/Jiang_Supervised_Homography_Learning_with_Realistic_Dataset_Generation_ICCV_2023_paper.pdf
E2E-LOAD: End-to-End Long-form Online Action Detection,"Cao, Shuqiang, Luo, Weixin, Wang, Bairui, Zhang, Wei, Ma, Lin",https://openaccess.thecvf.com/content/ICCV2023/papers/Cao_E2E-LOAD_End-to-End_Long-form_Online_Action_Detection_ICCV_2023_paper.pdf
TALL: Thumbnail Layout for Deepfake Video Detection,"Xu, Yuting, Liang, Jian, Jia, Gengyun, Yang, Ziming, Zhang, Yanhao, He, Ran",https://openaccess.thecvf.com/content/ICCV2023/papers/Xu_TALL_Thumbnail_Layout_for_Deepfake_Video_Detection_ICCV_2023_paper.pdf
Enhanced Soft Label for Semi-Supervised Semantic Segmentation,"Ma, Jie, Wang, Chuan, Liu, Yang, Lin, Liang, Li, Guanbin",https://openaccess.thecvf.com/content/ICCV2023/papers/Ma_Enhanced_Soft_Label_for_Semi-Supervised_Semantic_Segmentation_ICCV_2023_paper.pdf
Self-supervised Monocular Depth Estimation: Let's Talk About The Weather,"Saunders, Kieran, Vogiatzis, George, Manso, Luis J.",https://openaccess.thecvf.com/content/ICCV2023/papers/Saunders_Self-supervised_Monocular_Depth_Estimation_Lets_Talk_About_The_Weather_ICCV_2023_paper.pdf
Bidirectional Alignment for Domain Adaptive Detection with Transformers,"He, Liqiang, Wang, Wei, Chen, Albert, Sun, Min, Kuo, Cheng-Hao, Todorovic, Sinisa",https://openaccess.thecvf.com/content/ICCV2023/papers/He_Bidirectional_Alignment_for_Domain_Adaptive_Detection_with_Transformers_ICCV_2023_paper.pdf
Fast Neural Scene Flow,"Li, Xueqian, Zheng, Jianqiao, Ferroni, Francesco, Pontes, Jhony Kaesemodel, Lucey, Simon",https://openaccess.thecvf.com/content/ICCV2023/papers/Li_Fast_Neural_Scene_Flow_ICCV_2023_paper.pdf
CAME: Contrastive Automated Model Evaluation,"Peng, Ru, Duan, Qiuyang, Wang, Haobo, Ma, Jiachen, Jiang, Yanbo, Tu, Yongjun, Jiang, Xiu, Zhao, Junbo",https://openaccess.thecvf.com/content/ICCV2023/papers/Peng_CAME_Contrastive_Automated_Model_Evaluation_ICCV_2023_paper.pdf
ExposureDiffusion: Learning to Expose for Low-light Image Enhancement,"Wang, Yufei, Yu, Yi, Yang, Wenhan, Guo, Lanqing, Chau, Lap-Pui, Kot, Alex C., Wen, Bihan",https://openaccess.thecvf.com/content/ICCV2023/papers/Wang_ExposureDiffusion_Learning_to_Expose_for_Low-light_Image_Enhancement_ICCV_2023_paper.pdf
HM-ViT: Hetero-Modal Vehicle-to-Vehicle Cooperative Perception with Vision Transformer,"Xiang, Hao, Xu, Runsheng, Ma, Jiaqi",https://openaccess.thecvf.com/content/ICCV2023/papers/Xiang_HM-ViT_Hetero-Modal_Vehicle-to-Vehicle_Cooperative_Perception_with_Vision_Transformer_ICCV_2023_paper.pdf
HyperReenact: One-Shot Reenactment via Jointly Learning to Refine and Retarget Faces,"Bounareli, Stella, Tzelepis, Christos, Argyriou, Vasileios, Patras, Ioannis, Tzimiropoulos, Georgios",https://openaccess.thecvf.com/content/ICCV2023/papers/Bounareli_HyperReenact_One-Shot_Reenactment_via_Jointly_Learning_to_Refine_and_Retarget_ICCV_2023_paper.pdf
Order-preserving Consistency Regularization for Domain Adaptation and Generalization,"Jing, Mengmeng, Zhen, Xiantong, Li, Jingjing, Snoek, Cees G. M.",https://openaccess.thecvf.com/content/ICCV2023/papers/Jing_Order-preserving_Consistency_Regularization_for_Domain_Adaptation_and_Generalization_ICCV_2023_paper.pdf
RefEgo: Referring Expression Comprehension Dataset from First-Person Perception of Ego4D,"Kurita, Shuhei, Katsura, Naoki, Onami, Eri",https://openaccess.thecvf.com/content/ICCV2023/papers/Kurita_RefEgo_Referring_Expression_Comprehension_Dataset_from_First-Person_Perception_of_Ego4D_ICCV_2023_paper.pdf
Exploring Temporal Frequency Spectrum in Deep Video Deblurring,"Zhu, Qi, Zhou, Man, Zheng, Naishan, Li, Chongyi, Huang, Jie, Zhao, Feng",https://openaccess.thecvf.com/content/ICCV2023/papers/Zhu_Exploring_Temporal_Frequency_Spectrum_in_Deep_Video_Deblurring_ICCV_2023_paper.pdf
Unified Visual Relationship Detection with Vision and Language Models,"Zhao, Long, Yuan, Liangzhe, Gong, Boqing, Cui, Yin, Schroff, Florian, Yang, Ming-Hsuan, Adam, Hartwig, Liu, Ting",https://openaccess.thecvf.com/content/ICCV2023/papers/Zhao_Unified_Visual_Relationship_Detection_with_Vision_and_Language_Models_ICCV_2023_paper.pdf
Occ{\textasciicircum,"Fan, Miao, Chen, Mingrui, Hu, Chen, Zhou, Shuchang",https://openaccess.thecvf.com/content/ICCV2023/papers/Fan_Occ2Net_Robust_Image_Matching_Based_on_3D_Occupancy_Estimation_for_ICCV_2023_paper.pdf
Make-An-Animation: Large-Scale Text-conditional 3D Human Motion Generation,"Azadi, Samaneh, Shah, Akbar, Hayes, Thomas, Parikh, Devi, Gupta, Sonal",https://openaccess.thecvf.com/content/ICCV2023/papers/Azadi_Make-An-Animation_Large-Scale_Text-conditional_3D_Human_Motion_Generation_ICCV_2023_paper.pdf
Rickrolling the Artist: Injecting Backdoors into Text Encoders for Text-to-Image Synthesis,"Struppek, Lukas, Hintersdorf, Dominik, Kersting, Kristian",https://openaccess.thecvf.com/content/ICCV2023/papers/Struppek_Rickrolling_the_Artist_Injecting_Backdoors_into_Text_Encoders_for_Text-to-Image_ICCV_2023_paper.pdf
LD-ZNet: A Latent Diffusion Approach for Text-Based Image Segmentation,"PNVR, Koutilya, Singh, Bharat, Ghosh, Pallabi, Siddiquie, Behjat, Jacobs, David",https://openaccess.thecvf.com/content/ICCV2023/papers/PNVR_LD-ZNet_A_Latent_Diffusion_Approach_for_Text-Based_Image_Segmentation_ICCV_2023_paper.pdf
Workie-Talkie: Accelerating Federated Learning by Overlapping Computing and Communications via Contrastive Regularization,"Chen, Rui, Wan, Qiyu, Prakash, Pavana, Zhang, Lan, Yuan, Xu, Gong, Yanmin, Fu, Xin, Pan, Miao",https://openaccess.thecvf.com/content/ICCV2023/papers/Chen_Workie-Talkie_Accelerating_Federated_Learning_by_Overlapping_Computing_and_Communications_via_ICCV_2023_paper.pdf
Downstream-agnostic Adversarial Examples,"Zhou, Ziqi, Hu, Shengshan, Zhao, Ruizhi, Wang, Qian, Zhang, Leo Yu, Hou, Junhui, Jin, Hai",https://openaccess.thecvf.com/content/ICCV2023/papers/Zhou_Downstream-agnostic_Adversarial_Examples_ICCV_2023_paper.pdf
Late Stopping: Avoiding Confidently Learning from Mislabeled Examples,"Yuan, Suqin, Feng, Lei, Liu, Tongliang",https://openaccess.thecvf.com/content/ICCV2023/papers/Yuan_Late_Stopping_Avoiding_Confidently_Learning_from_Mislabeled_Examples_ICCV_2023_paper.pdf
AerialVLN: Vision-and-Language Navigation for UAVs,"Liu, Shubo, Zhang, Hongsheng, Qi, Yuankai, Wang, Peng, Zhang, Yanning, Wu, Qi",https://openaccess.thecvf.com/content/ICCV2023/papers/Liu_AerialVLN_Vision-and-Language_Navigation_for_UAVs_ICCV_2023_paper.pdf
On the Robustness of Open-World Test-Time Training: Self-Training with Dynamic Prototype Expansion,"Li, Yushu, Xu, Xun, Su, Yongyi, Jia, Kui",https://openaccess.thecvf.com/content/ICCV2023/papers/Li_On_the_Robustness_of_Open-World_Test-Time_Training_Self-Training_with_Dynamic_ICCV_2023_paper.pdf
Studying How to Efficiently and Effectively Guide Models with Explanations,"Rao, Sukrut, B\""ohle, Moritz, Parchami-Araghi, Amin, Schiele, Bernt",https://openaccess.thecvf.com/content/ICCV2023/papers/Rao_Studying_How_to_Efficiently_and_Effectively_Guide_Models_with_Explanations_ICCV_2023_paper.pdf
Most Important Person-Guided Dual-Branch Cross-Patch Attention for Group Affect Recognition,"Xie, Hongxia, Lee, Ming-Xian, Chen, Tzu-Jui, Chen, Hung-Jen, Liu, Hou-I, Shuai, Hong-Han, Cheng, Wen-Huang",https://openaccess.thecvf.com/content/ICCV2023/papers/Xie_Most_Important_Person-Guided_Dual-Branch_Cross-Patch_Attention_for_Group_Affect_Recognition_ICCV_2023_paper.pdf
SkeletonMAE: Graph-based Masked Autoencoder for Skeleton Sequence Pre-training,"Yan, Hong, Liu, Yang, Wei, Yushen, Li, Zhen, Li, Guanbin, Lin, Liang",https://openaccess.thecvf.com/content/ICCV2023/papers/Yan_SkeletonMAE_Graph-based_Masked_Autoencoder_for_Skeleton_Sequence_Pre-training_ICCV_2023_paper.pdf
Achievement-Based Training Progress Balancing for Multi-Task Learning,"Yun, Hayoung, Cho, Hanjoo",https://openaccess.thecvf.com/content/ICCV2023/papers/Yun_Achievement-Based_Training_Progress_Balancing_for_Multi-Task_Learning_ICCV_2023_paper.pdf
Pose-Free Neural Radiance Fields via Implicit Pose Regularization,"Zhang, Jiahui, Zhan, Fangneng, Yu, Yingchen, Liu, Kunhao, Wu, Rongliang, Zhang, Xiaoqin, Shao, Ling, Lu, Shijian",https://openaccess.thecvf.com/content/ICCV2023/papers/Zhang_Pose-Free_Neural_Radiance_Fields_via_Implicit_Pose_Regularization_ICCV_2023_paper.pdf
Self-supervised Learning to Bring Dual Reversed Rolling Shutter Images Alive,"Shang, Wei, Ren, Dongwei, Feng, Chaoyu, Wang, Xiaotao, Lei, Lei, Zuo, Wangmeng",https://openaccess.thecvf.com/content/ICCV2023/papers/Shang_Self-supervised_Learning_to_Bring_Dual_Reversed_Rolling_Shutter_Images_Alive_ICCV_2023_paper.pdf
Logic-induced Diagnostic Reasoning for Semi-supervised Semantic Segmentation,"Liang, Chen, Wang, Wenguan, Miao, Jiaxu, Yang, Yi",https://openaccess.thecvf.com/content/ICCV2023/papers/Liang_Logic-induced_Diagnostic_Reasoning_for_Semi-supervised_Semantic_Segmentation_ICCV_2023_paper.pdf
Self-Supervised Monocular Depth Estimation by Direction-aware Cumulative Convolution Network,"Han, Wencheng, Yin, Junbo, Shen, Jianbing",https://openaccess.thecvf.com/content/ICCV2023/papers/Han_Self-Supervised_Monocular_Depth_Estimation_by_Direction-aware_Cumulative_Convolution_Network_ICCV_2023_paper.pdf
Encyclopedic VQA: Visual Questions About Detailed Properties of Fine-Grained Categories,"Mensink, Thomas, Uijlings, Jasper, Castrejon, Lluis, Goel, Arushi, Cadar, Felipe, Zhou, Howard, Sha, Fei, Araujo, Andr\'e, Ferrari, Vittorio",https://openaccess.thecvf.com/content/ICCV2023/papers/Mensink_Encyclopedic_VQA_Visual_Questions_About_Detailed_Properties_of_Fine-Grained_Categories_ICCV_2023_paper.pdf
Towards Understanding the Generalization of Deepfake Detectors from a Game-Theoretical View,"Yao, Kelu, Wang, Jin, Diao, Boyu, Li, Chao",https://openaccess.thecvf.com/content/ICCV2023/papers/Yao_Towards_Understanding_the_Generalization_of_Deepfake_Detectors_from_a_Game-Theoretical_ICCV_2023_paper.pdf
Few-Shot Common Action Localization via Cross-Attentional Fusion of Context and Temporal Dynamics,"Lee, Juntae, Jain, Mihir, Yun, Sungrack",https://openaccess.thecvf.com/content/ICCV2023/papers/Lee_Few-Shot_Common_Action_Localization_via_Cross-Attentional_Fusion_of_Context_and_ICCV_2023_paper.pdf
Physically-Plausible Illumination Distribution Estimation,"Ershov, Egor, Tesalin, Vasily, Ermakov, Ivan, Brown, Michael S.",https://openaccess.thecvf.com/content/ICCV2023/papers/Ershov_Physically-Plausible_Illumination_Distribution_Estimation_ICCV_2023_paper.pdf
3DPPE: 3D Point Positional Encoding for Transformer-based Multi-Camera 3D Object Detection,"Shu, Changyong, Deng, Jiajun, Yu, Fisher, Liu, Yifan",https://openaccess.thecvf.com/content/ICCV2023/papers/Shu_3DPPE_3D_Point_Positional_Encoding_for_Transformer-based_Multi-Camera_3D_Object_ICCV_2023_paper.pdf
Revisiting Foreground and Background Separation in Weakly-supervised Temporal Action Localization: A Clustering-based Approach,"Liu, Qinying, Wang, Zilei, Rong, Shenghai, Li, Junjie, Zhang, Yixin",https://openaccess.thecvf.com/content/ICCV2023/papers/Liu_Revisiting_Foreground_and_Background_Separation_in_Weakly-supervised_Temporal_Action_Localization_ICCV_2023_paper.pdf
VertexSerum: Poisoning Graph Neural Networks for Link Inference,"Ding, Ruyi, Duan, Shijin, Xu, Xiaolin, Fei, Yunsi",https://openaccess.thecvf.com/content/ICCV2023/papers/Ding_VertexSerum_Poisoning_Graph_Neural_Networks_for_Link_Inference_ICCV_2023_paper.pdf
NeRF-Det: Learning Geometry-Aware Volumetric Representation for Multi-View 3D Object Detection,"Xu, Chenfeng, Wu, Bichen, Hou, Ji, Tsai, Sam, Li, Ruilong, Wang, Jialiang, Zhan, Wei, He, Zijian, Vajda, Peter, Keutzer, Kurt, Tomizuka, Masayoshi",https://openaccess.thecvf.com/content/ICCV2023/papers/Xu_NeRF-Det_Learning_Geometry-Aware_Volumetric_Representation_for_Multi-View_3D_Object_Detection_ICCV_2023_paper.pdf
Spatio-Temporal Domain Awareness for Multi-Agent Collaborative Perception,"Yang, Kun, Yang, Dingkang, Zhang, Jingyu, Li, Mingcheng, Liu, Yang, Liu, Jing, Wang, Hanqi, Sun, Peng, Song, Liang",https://openaccess.thecvf.com/content/ICCV2023/papers/Yang_Spatio-Temporal_Domain_Awareness_for_Multi-Agent_Collaborative_Perception_ICCV_2023_paper.pdf
LPFF: A Portrait Dataset for Face Generators Across Large Poses,"Wu, Yiqian, Zhang, Jing, Fu, Hongbo, Jin, Xiaogang",https://openaccess.thecvf.com/content/ICCV2023/papers/Wu_LPFF_A_Portrait_Dataset_for_Face_Generators_Across_Large_Poses_ICCV_2023_paper.pdf
Pseudo-label Alignment for Semi-supervised Instance Segmentation,"Hu, Jie, Chen, Chen, Cao, Liujuan, Zhang, Shengchuan, Shu, Annan, Jiang, Guannan, Ji, Rongrong",https://openaccess.thecvf.com/content/ICCV2023/papers/Hu_Pseudo-label_Alignment_for_Semi-supervised_Instance_Segmentation_ICCV_2023_paper.pdf
Deep Geometrized Cartoon Line Inbetweening,"Siyao, Li, Gu, Tianpei, Xiao, Weiye, Ding, Henghui, Liu, Ziwei, Loy, Chen Change",https://openaccess.thecvf.com/content/ICCV2023/papers/Siyao_Deep_Geometrized_Cartoon_Line_Inbetweening_ICCV_2023_paper.pdf
MixBag: Bag-Level Data Augmentation for Learning from Label Proportions,"Asanomi, Takanori, Matsuo, Shinnosuke, Suehiro, Daiki, Bise, Ryoma",https://openaccess.thecvf.com/content/ICCV2023/papers/Asanomi_MixBag_Bag-Level_Data_Augmentation_for_Learning_from_Label_Proportions_ICCV_2023_paper.pdf
Effective Real Image Editing with Accelerated Iterative Diffusion Inversion,"Pan, Zhihong, Gherardi, Riccardo, Xie, Xiufeng, Huang, Stephen",https://openaccess.thecvf.com/content/ICCV2023/papers/Pan_Effective_Real_Image_Editing_with_Accelerated_Iterative_Diffusion_Inversion_ICCV_2023_paper.pdf
3D-Aware Neural Body Fitting for Occlusion Robust 3D Human Pose Estimation,"Zhang, Yi, Ji, Pengliang, Wang, Angtian, Mei, Jieru, Kortylewski, Adam, Yuille, Alan",https://openaccess.thecvf.com/content/ICCV2023/papers/Zhang_3D-Aware_Neural_Body_Fitting_for_Occlusion_Robust_3D_Human_Pose_ICCV_2023_paper.pdf
Chinese Text Recognition with A Pre-Trained CLIP-Like Model Through Image-IDS Aligning,"Yu, Haiyang, Wang, Xiaocong, Li, Bin, Xue, Xiangyang",https://openaccess.thecvf.com/content/ICCV2023/papers/Yu_Chinese_Text_Recognition_with_A_Pre-Trained_CLIP-Like_Model_Through_Image-IDS_ICCV_2023_paper.pdf
MatrixCity: A Large-scale City Dataset for City-scale Neural Rendering and Beyond,"Li, Yixuan, Jiang, Lihan, Xu, Linning, Xiangli, Yuanbo, Wang, Zhenzhi, Lin, Dahua, Dai, Bo",https://openaccess.thecvf.com/content/ICCV2023/papers/Li_MatrixCity_A_Large-scale_City_Dataset_for_City-scale_Neural_Rendering_and_ICCV_2023_paper.pdf
LinkGAN: Linking GAN Latents to Pixels for Controllable Image Synthesis,"Zhu, Jiapeng, Yang, Ceyuan, Shen, Yujun, Shi, Zifan, Dai, Bo, Zhao, Deli, Chen, Qifeng",https://openaccess.thecvf.com/content/ICCV2023/papers/Zhu_LinkGAN_Linking_GAN_Latents_to_Pixels_for_Controllable_Image_Synthesis_ICCV_2023_paper.pdf
Exploiting Proximity-Aware Tasks for Embodied Social Navigation,"Cancelli, Enrico, Campari, Tommaso, Serafini, Luciano, Chang, Angel X., Ballan, Lamberto",https://openaccess.thecvf.com/content/ICCV2023/papers/Cancelli_Exploiting_Proximity-Aware_Tasks_for_Embodied_Social_Navigation_ICCV_2023_paper.pdf
SVDiff: Compact Parameter Space for Diffusion Fine-Tuning,"Han, Ligong, Li, Yinxiao, Zhang, Han, Milanfar, Peyman, Metaxas, Dimitris, Yang, Feng",https://openaccess.thecvf.com/content/ICCV2023/papers/Han_SVDiff_Compact_Parameter_Space_for_Diffusion_Fine-Tuning_ICCV_2023_paper.pdf
UniFace: Unified Cross-Entropy Loss for Deep Face Recognition,"Zhou, Jiancan, Jia, Xi, Li, Qiufu, Shen, Linlin, Duan, Jinming",https://openaccess.thecvf.com/content/ICCV2023/papers/Zhou_UniFace_Unified_Cross-Entropy_Loss_for_Deep_Face_Recognition_ICCV_2023_paper.pdf
Jumping through Local Minima: Quantization in the Loss Landscape of Vision Transformers,"Frumkin, Natalia, Gope, Dibakar, Marculescu, Diana",https://openaccess.thecvf.com/content/ICCV2023/papers/Frumkin_Jumping_through_Local_Minima_Quantization_in_the_Loss_Landscape_of_ICCV_2023_paper.pdf
Hierarchical Contrastive Learning for Pattern-Generalizable Image Corruption Detection,"Feng, Xin, Xu, Yifeng, Lu, Guangming, Pei, Wenjie",https://openaccess.thecvf.com/content/ICCV2023/papers/Feng_Hierarchical_Contrastive_Learning_for_Pattern-Generalizable_Image_Corruption_Detection_ICCV_2023_paper.pdf
Learning Optical Flow from Event Camera with Rendered Dataset,"Luo, Xinglong, Luo, Kunming, Luo, Ao, Wang, Zhengning, Tan, Ping, Liu, Shuaicheng",https://openaccess.thecvf.com/content/ICCV2023/papers/Luo_Learning_Optical_Flow_from_Event_Camera_with_Rendered_Dataset_ICCV_2023_paper.pdf
EPiC: Ensemble of Partial Point Clouds for Robust Classification,"Levi, Meir Yossef, Gilboa, Guy",https://openaccess.thecvf.com/content/ICCV2023/papers/Levi_EPiC_Ensemble_of_Partial_Point_Clouds_for_Robust_Classification_ICCV_2023_paper.pdf
Distilling Large Vision-Language Model with Out-of-Distribution Generalizability,"Li, Xuanlin, Fang, Yunhao, Liu, Minghua, Ling, Zhan, Tu, Zhuowen, Su, Hao",https://openaccess.thecvf.com/content/ICCV2023/papers/Li_Distilling_Large_Vision-Language_Model_with_Out-of-Distribution_Generalizability_ICCV_2023_paper.pdf
Cross-Modal Learning with 3D Deformable Attention for Action Recognition,"Kim, Sangwon, Ahn, Dasom, Ko, Byoung Chul",https://openaccess.thecvf.com/content/ICCV2023/papers/Kim_Cross-Modal_Learning_with_3D_Deformable_Attention_for_Action_Recognition_ICCV_2023_paper.pdf
What do neural networks learn in image classification? A frequency shortcut perspective,"Wang, Shunxin, Veldhuis, Raymond, Brune, Christoph, Strisciuglio, Nicola",https://openaccess.thecvf.com/content/ICCV2023/papers/Wang_What_do_neural_networks_learn_in_image_classification_A_frequency_ICCV_2023_paper.pdf
Tracking by 3D Model Estimation of Unknown Objects in Videos,"Rozumnyi, Denys, Matas, Ji\v{r",https://openaccess.thecvf.com/content/ICCV2023/papers/Rozumnyi_Tracking_by_3D_Model_Estimation_of_Unknown_Objects_in_Videos_ICCV_2023_paper.pdf
ScatterNeRF: Seeing Through Fog with Physically-Based Inverse Neural Rendering,"Ramazzina, Andrea, Bijelic, Mario, Walz, Stefanie, Sanvito, Alessandro, Scheuble, Dominik, Heide, Felix",https://openaccess.thecvf.com/content/ICCV2023/papers/Ramazzina_ScatterNeRF_Seeing_Through_Fog_with_Physically-Based_Inverse_Neural_Rendering_ICCV_2023_paper.pdf
Sigmoid Loss for Language Image Pre-Training,"Zhai, Xiaohua, Mustafa, Basil, Kolesnikov, Alexander, Beyer, Lucas",https://openaccess.thecvf.com/content/ICCV2023/papers/Zhai_Sigmoid_Loss_for_Language_Image_Pre-Training_ICCV_2023_paper.pdf
PromptCap: Prompt-Guided Image Captioning for VQA with GPT-3,"Hu, Yushi, Hua, Hang, Yang, Zhengyuan, Shi, Weijia, Smith, Noah A., Luo, Jiebo",https://openaccess.thecvf.com/content/ICCV2023/papers/Hu_PromptCap_Prompt-Guided_Image_Captioning_for_VQA_with_GPT-3_ICCV_2023_paper.pdf
Neural Video Depth Stabilizer,"Wang, Yiran, Shi, Min, Li, Jiaqi, Huang, Zihao, Cao, Zhiguo, Zhang, Jianming, Xian, Ke, Lin, Guosheng",https://openaccess.thecvf.com/content/ICCV2023/papers/Wang_Neural_Video_Depth_Stabilizer_ICCV_2023_paper.pdf
Learning Symmetry-Aware Geometry Correspondences for 6D Object Pose Estimation,"Zhao, Heng, Wei, Shenxing, Shi, Dahu, Tan, Wenming, Li, Zheyang, Ren, Ye, Wei, Xing, Yang, Yi, Pu, Shiliang",https://openaccess.thecvf.com/content/ICCV2023/papers/Zhao_Learning_Symmetry-Aware_Geometry_Correspondences_for_6D_Object_Pose_Estimation_ICCV_2023_paper.pdf
TrackFlow: Multi-Object tracking with Normalizing Flows,"Mancusi, Gianluca, Panariello, Aniello, Porrello, Angelo, Fabbri, Matteo, Calderara, Simone, Cucchiara, Rita",https://openaccess.thecvf.com/content/ICCV2023/papers/Mancusi_TrackFlow_Multi-Object_tracking_with_Normalizing_Flows_ICCV_2023_paper.pdf
Towards Generic Image Manipulation Detection with Weakly-Supervised Self-Consistency Learning,"Zhai, Yuanhao, Luan, Tianyu, Doermann, David, Yuan, Junsong",https://openaccess.thecvf.com/content/ICCV2023/papers/Zhai_Towards_Generic_Image_Manipulation_Detection_with_Weakly-Supervised_Self-Consistency_Learning_ICCV_2023_paper.pdf
PARF: Primitive-Aware Radiance Fusion for Indoor Scene Novel View Synthesis,"Ying, Haiyang, Jiang, Baowei, Zhang, Jinzhi, Xu, Di, Yu, Tao, Dai, Qionghai, Fang, Lu",https://openaccess.thecvf.com/content/ICCV2023/papers/Ying_PARF_Primitive-Aware_Radiance_Fusion_for_Indoor_Scene_Novel_View_Synthesis_ICCV_2023_paper.pdf
DeePoint: Visual Pointing Recognition and Direction Estimation,"Nakamura, Shu, Kawanishi, Yasutomo, Nobuhara, Shohei, Nishino, Ko",https://openaccess.thecvf.com/content/ICCV2023/papers/Nakamura_DeePoint_Visual_Pointing_Recognition_and_Direction_Estimation_ICCV_2023_paper.pdf
Periodically Exchange Teacher-Student for Source-Free Object Detection,"Liu, Qipeng, Lin, Luojun, Shen, Zhifeng, Yang, Zhifeng",https://openaccess.thecvf.com/content/ICCV2023/papers/Liu_Periodically_Exchange_Teacher-Student_for_Source-Free_Object_Detection_ICCV_2023_paper.pdf
Generating Instance-level Prompts for Rehearsal-free Continual Learning,"Jung, Dahuin, Han, Dongyoon, Bang, Jihwan, Song, Hwanjun",https://openaccess.thecvf.com/content/ICCV2023/papers/Jung_Generating_Instance-level_Prompts_for_Rehearsal-free_Continual_Learning_ICCV_2023_paper.pdf
